Student_ID,Study_Hours,Test_Score,Attendance,Sleep_Hours
S1001,23.6,85.2,80.2,10.7
S1002,21.6,74.8,81.6,5.1
S1003,29.0,75.7,79.5,5.4
S1004,12.6,58.7,71.8,3.6
S1005,3.2,57.2,70.3,6.2
S1006,22.2,70.9,93.7,8.3
S1007,22.9,78.9,83.1,10.3
S1008,23.3,67.8,65.9,3.0
S1009,13.1,66.9,83.3,7.6
S1010,10.0,57.3,66.1,3.9
S1011,18.8,69.2,81.9,4.9
S1012,14.0,69.2,73.8,11.0
S1013,23.6,84.0,79.2,8.7
S1014,29.2,75.3,93.5,5.0
S1015,26.5,70.1,72.6,9.5
S1016,10.8,73.5,72.8,10.1
S1017,37.9,95.7,95.5,6.9
S1018,12.1,70.2,69.5,8.7
S1019,10.5,65.3,88.5,7.9
S1020,12.9,76.5,60.2,7.5
S1021,28.1,83.1,80.9,4.2
S1022,17.1,75.3,74.7,5.4
S1023,10.6,67.8,78.4,5.8
S1024,4.8,77.6,72.2,9.5
S1025,8.8,69.4,88.9,9.8
S1026,34.3,91.9,86.8,8.7
S1027,18.4,78.3,80.2,7.1
S1028,25.4,70.5,76.7,4.4
S1029,30.0,79.2,86.9,3.2
S1030,39.4,100,91.3,10.2
S1031,26.7,80.8,81.0,9.2
S1032,36.4,83.9,83.8,7.4
S1033,21.2,77.4,95.6,10.6
S1034,17.6,65.4,80.1,5.9
S1035,22.0,67.9,95.3,7.6
S1036,25.5,80.5,84.5,3.8
S1037,7.9,65.0,81.2,5.7
S1038,31.9,89.2,85.2,4.9
S1039,2.3,63.0,79.4,6.9
S1040,11.4,65.4,82.2,3.3
S1041,35.3,92.0,82.7,6.6
S1042,1.6,49.8,76.1,8.3
S1043,12.4,65.2,73.3,8.5
S1044,14.8,66.3,84.6,7.1
S1045,28.4,77.2,86.7,10.3
S1046,6.3,42.9,66.2,3.4
S1047,28.4,78.4,100,10.4
S1048,31.9,77.8,95.1,5.8
S1049,17.3,73.7,71.8,4.2
S1050,17.2,84.9,80.1,10.8
S1051,3.2,57.1,65.6,5.8
S1052,9.5,65.7,84.0,10.3
