# Mental health and academic load survey. Units: exercise=hours/week, social=hours/week, GPA on 4.0 scale.
Student_ID,Stress_Level,Hours_Exercise,GPA,Social_Hours
M2001,Moderate,1.2,3.84,5.0
M2002,High,11.8,2.88,6.8
M2003,Moderate,3.5,3.1,8.0
M2004,Low,6.6,2.56,7.4
M2005,High,7.5,2.85,0.1
M2006,High,4.0,3.48,4.1
M2007,Low,0.4,2.78,3.7
M2008,High,1.6,3.37,1.2
M2009,Low,8.3,3.83,6.9
M2010,High,2.1,2.87,4.1
M2011,Low,10.1,2.9,6.7
M2012,High,2.1,2.46,5.4
M2013,Moderate,10.4,3.05,5.3
M2014,Moderate,11.1,3.53,7.3
M2015,Low,2.5,2.17,0.4
M2016,High,1.7,2.87,9.2
M2017,Low,9.9,3.58,7.3
M2018,Low,9.4,3.36,1.1
M2019,High,4.6,2.87,2.7
M2020,Low,6.2,3.66,6.4
M2021,Moderate,2.7,3.04,8.8
M2022,Moderate,10.9,3.2,7.7
M2023,Moderate,8.6,2.45,4.7
M2024,High,0.7,2.14,8.5
M2025,Low,4.6,2.85,8.1
M2026,Low,8.1,2.9,1.8
M2027,High,5.0,3.16,3.9
M2028,Moderate,7.0,3.56,0.6
M2029,Low,10.4,2.41,1.7
M2030,Low,0.2,3.48,0.8
M2031,Moderate,1.4,2.59,8.5
M2032,Low,3.9,2.31,8.4
M2033,Moderate,0.9,2.85,5.9
M2034,Moderate,2.3,3.77,5.8
M2035,High,7.2,3.19,9.8
M2036,Moderate,4.9,2.92,3.1
M2037,Moderate,10.0,2.12,9.3
M2038,Moderate,6.7,2.84,1.1
M2039,Moderate,0.4,3.49,9.5
M2040,High,5.7,2.3,6.9
M2041,Moderate,11.3,2.71,5.8
M2042,High,8.1,3.61,0.3
M2043,High,1.9,3.45,6.4
M2044,Low,11.5,2.6,2.0
M2045,Low,7.4,2.06,1.1
M2046,Low,1.0,3.01,0.1
M2047,Low,8.3,2.6,8.5
M2048,Low,3.0,3.77,8.9
M2049,Low,10.4,2.42,0.6
M2050,High,2.6,3.18,3.9
M2051,Moderate,8.9,3.44,1.5
M2052,Moderate,9.4,2.25,2.6
M2053,Moderate,3.4,2.29,6.2
M2054,High,7.5,2.79,5.9
M2055,High,11.7,3.27,9.3
M2056,Low,9.8,2.42,4.1
M2057,Moderate,2.7,2.83,9.6
M2058,Moderate,7.8,3.23,9.4
M2059,High,2.8,2.54,8.2
M2060,Moderate,7.9,3.05,4.8
