# Extracurricular activity log. Minutes_Per_Week is student-reported.
Student_ID,Activity,Minutes_Per_Week,Team_Or_Individual
A3001,Track,240,Team
A3002,None,0,Individual
A3003,Art,450,Individual
A3004,Robotics,210,Team
A3005,Soccer,375,Team
A3006,Basketball,165,Team
A3007,Debate,525,Team
A3008,Debate,270,Team
A3009,Basketball,300,Team
A3010,Music,300,Individual
A3011,Robotics,780,Team
A3012,Music,450,Individual
A3013,Art,555,Individual
A3014,Basketball,345,Team
A3015,Robotics,330,Team
A3016,Soccer,210,Team
A3017,None,0,Individual
A3018,Robotics,540,Team
A3019,Art,345,Individual
A3020,Debate,750,Team
A3021,Music,660,Individual
A3022,None,0,Individual
A3023,Basketball,285,Team
A3024,Track,690,Team
A3025,Basketball,795,Team
A3026,Music,465,Individual
A3027,Music,540,Individual
A3028,Art,225,Individual
A3029,Art,315,Individual
A3030,None,0,Individual
A3031,Track,765,Team
A3032,Debate,330,Team
A3033,Robotics,840,Team
A3034,Track,390,Team
A3035,None,0,Individual
A3036,Music,105,Individual
A3037,Track,630,Team
A3038,Basketball,420,Team
A3039,None,0,Individual
A3040,Basketball,435,Team
A3041,Soccer,180,Team
A3042,Robotics,840,Team
A3043,Track,555,Team
A3044,Track,780,Team
A3045,Track,750,Team
A3046,Music,285,Individual
A3047,Track,570,Team
A3048,Music,495,Individual
A3049,Music,480,Individual
A3050,Robotics,540,Team
