Student ID,Gender,Age,Parent Education Level,Hours Studied Per Week,Sleep Hours Per Night,Extracurricular Activities,Math Score,Science Score,English Score,Overall GPA,Absence Rate
STU0001,Male,15,Doctorate,15.4,6.2,3,55.1,61.6,56.9,1.87,0.248
STU0002,Female,17,Some College,14.6,10.5,0,57.0,46.0,55.5,2.01,0.133
STU0003,Female,16,Master's Degree,??,3.5,,84.5,75.0,85.3,3.24,0.146
STU0004,Male,17,Master's Degree,41.6,10.8,3,96.8,97.6,93.3,3.87,0.128
STU0005,Female,17,Bachelor's Degree,47.4,10.2,3,100,97.2,94.6,3.73,0.03
STU0006,Male,17,High School,19.6,9.3,1,71.8,70.0,74.2,2.87,0.207
STU0007,Male,15,High School,11.6,3.2,0,45.2,29.0,38.7,9,0.22
STU0008,Male,17,Bachelor's Degree,49.8,7.1,3,82.5,84.1,81.7,3.62,0.045
STU0009,Male,18,High School,42.3,9.5,2,77.1,78.1,73.9,2.98,0.184
STU0010,Male,16,Bachelor's Degree,57.6,10.8,3,80.0,75.8,79.5,2.84,0.164
STU0011,Male,14,Bachelor's Degree,12.8,5.1,1,38.5,60.3,35.1,1.74,0.157
STU0012,Female,4,Some College,23.5,11.0,3,77.9,82.2,72.6,3.17,0.248
STU0013,Male,17,Some College,??,11.7,4,90.8,77.7,84.2,3.22,0.105
STU0014,Female,14,High School,14.5,8.2,0,69.0,73.0,75.9,3.0,0.065
STU0015,Male,16,Bachelor's Degree,9.1,6.4,1,65.8,69.5,76.8,2.96,0.23
STU0016,Male,14,Doctorate,23.6,7.3,1,55.7,58.7,55.8,2.18,0.09
STU0017,Male,99,Bachelor's Degree,43.8,10.9,4,85.6,74.7,90.0,3.54,0.154
STU0018,Female,14,Bachelor's Degree,31.9,9.2,4,60.2,78.5,62.7,2.38,0.155
STU0019,Female,18,Bachelor's Degree,45.0,8.4,2,80.1,85.8,90.9,3.35,0.225
STU0020,Male,17,Some College,20.8,3.7,2,41.2,42.4,36.6,1.66,0.197
STU0021,Female,18,Master's Degree,26.9,8.6,1,84.8,79.3,73.8,3.27,0.016
STU0022,Female,15,Some College,15.4,11.7,4,64.4,59.3,63.7,2.31,0.124
STU0023,Female,18,High School,24.7,4.8,1,79.3,76.5,78.0,2.95,0.231
STU0024,Male,18,Doctorate,55.3,7.6,1,77.3,87.6,76.9,3.17,0.179
STU0025,Male,17,High School,27.1,10.3,0,87.1,82.3,86.5,3.47,0.158
STU0026,Female,15,Master's Degree,7.2,8.8,1,41.1,42.0,37.3,1.7,0.052
STU0027,Male,17,Doctorate,36.9,4.9,2,73.9,62.4,71.6,2.81,0.006
STU0028,Female,15,Doctorate,51.4,4.7,4,60.8,68.8,63.7,2.91,0.091
STU0029,Male,16,Doctorate,53.8,11.0,2,81.8,99.5,98.2,4.0,0.158
STU0030,Male,14,Some College,44.9,6.9,2,76.3,80.7,85.7,3.51,0.185
STU0031,Female,14,High School,40.1,4.3,2,74.7,80.3,76.8,2.75,0.134
STU0032,Female,14,High School,29.8,8.6,4,58.8,78.7,69.8,3.07,0.176
STU0033,Male,17,High School,15.6,3.4,3,49.6,71.6,44.1,2.31,0.048
STU0034,Male,14,Doctorate,1.0,7.5,0,55.9,54.2,61.2,9,0.177
STU0035,Male,16,Doctorate,47.9,7.5,4,100,91.7,86.6,3.67,0.075
STU0036,Female,17,Master's Degree,58.3,3.4,0,83.6,83.2,72.5,3.32,0.212
STU0037,Male,17,Bachelor's Degree,9.4,6.5,0,32.2,42.2,43.7,1.56,0.127
STU0038,Male,15,Doctorate,7.8,6.2,3,47.5,48.5,43.7,1.72,0.104
STU0039,Female,15,Doctorate,31.1,6.0,3,64.7,78.4,68.5,2.65,0.236
STU0040,Female,18,Some College,3.6,6.4,0,30.6,38.0,39.1,1.46,0.085
STU0041,Male,17,Bachelor's Degree,59.9,6.5,1,88.6,89.0,97.5,3.43,0.131
