# Office-hours queue survey. Wait_Minutes is whole minutes, measured at check-in.
Response_ID,Wait_Minutes,Day_Of_Week,Counter,Satisfied
R4001,9,Tue,C2,Y
R4002,8,Wed,C3,N
R4003,16,Thu,C4,Y
R4004,13,Fri,C1,Y
R4005,10,Mon,C2,Y
R4006,8,Tue,C3,Y
R4007,22,Wed,C4,N
R4008,22,Thu,C1,Y
R4009,7,Fri,C2,Y
R4010,6,Mon,C3,Y
R4011,14,Tue,C4,Y
R4012,10,Wed,C1,Y
R4013,18,Thu,C2,Y
R4014,8,Fri,C3,Y
R4015,17,Mon,C4,Y
R4016,9,Tue,C1,Y
R4017,15,Wed,C2,Y
R4018,19,Thu,C3,N
R4019,3,Fri,C4,Y
R4020,15,Mon,C1,Y
R4021,6,Tue,C2,Y
R4022,13,Wed,C3,Y
R4023,8,Thu,C4,N
R4024,15,Fri,C1,Y
R4025,14,Mon,C2,Y
R4026,10,Tue,C3,Y
R4027,13,Wed,C4,N
R4028,17,Thu,C1,Y
R4029,17,Fri,C2,Y
R4030,14,Mon,C3,Y
R4031,14,Tue,C4,Y
R4032,15,Wed,C1,Y
R4033,21,Thu,C2,Y
R4034,2,Fri,C3,Y
R4035,5,Mon,C4,Y
R4036,15,Tue,C1,Y
R4037,16,Wed,C2,Y
R4038,19,Thu,C3,Y
R4039,6,Fri,C4,Y
R4040,23,Mon,C1,Y
R4041,18,Tue,C2,N
R4042,9,Wed,C3,N
R4043,17,Thu,C4,Y
R4044,7,Fri,C1,Y
R4045,3,Mon,C2,N
R4046,13,Tue,C3,Y
R4047,8,Wed,C4,Y
R4048,14,Thu,C1,Y
R4049,7,Fri,C2,Y
R4050,14,Mon,C3,N
R4051,9,Tue,C4,Y
R4052,14,Wed,C1,N
R4053,13,Thu,C2,Y
R4054,21,Fri,C3,Y
R4055,13,Mon,C4,Y
R4056,11,Tue,C1,Y
R4057,5,Wed,C2,Y
R4058,14,Thu,C3,Y
R4059,5,Fri,C4,Y
R4060,18,Mon,C1,Y
R4061,19,Tue,C2,Y
R4062,9,Wed,C3,Y
R4063,14,Thu,C4,Y
R4064,2,Fri,C1,Y
R4065,13,Mon,C2,Y
R4066,7,Tue,C3,Y
R4067,15,Wed,C4,Y
R4068,10,Thu,C1,Y
R4069,2,Fri,C2,Y
R4070,18,Mon,C3,Y
R4071,13,Tue,C4,Y
R4072,17,Wed,C1,Y
R4073,9,Thu,C2,Y
R4074,11,Fri,C3,Y
R4075,14,Mon,C4,Y
R4076,7,Tue,C1,Y
R4077,14,Wed,C2,N
R4078,16,Thu,C3,Y
R4079,2,Fri,C4,Y
R4080,16,Mon,C1,Y
R4081,7,Tue,C2,Y
R4082,2,Wed,C3,Y
R4083,22,Thu,C4,Y
R4084,7,Fri,C1,Y
