# Anonymized payroll extract, 120 employees. Annual_USD is gross, USD.
Employee_ID,Job_Family,Annual_USD,Years_Experience,Region
E7001,Analyst,328233,11,West
E7002,Coordinator,212989,6,South
E7003,Analyst,309799,21,South
E7004,Coordinator,52758,17,East
E7005,Analyst,317330,6,West
E7006,Coordinator,203902,16,North
E7007,Analyst,321192,11,South
E7008,Coordinator,55139,0,North
E7009,Analyst,61454,15,South
E7010,Coordinator,36540,3,South
E7011,Analyst,87972,19,North
E7012,Coordinator,59464,6,South
E7013,Analyst,79657,21,South
E7014,Coordinator,62847,11,North
E7015,Analyst,92728,6,West
E7016,Coordinator,64786,11,West
E7017,Analyst,82594,8,North
E7018,Coordinator,61030,14,North
E7019,Analyst,89398,12,South
E7020,Coordinator,63377,21,West
E7021,Analyst,57549,13,East
E7022,Coordinator,60543,19,East
E7023,Analyst,65094,21,West
E7024,Coordinator,71717,17,West
E7025,Analyst,49144,6,East
E7026,Coordinator,59821,11,South
E7027,Analyst,73981,13,East
E7028,Coordinator,40634,11,West
E7029,Analyst,43940,3,South
E7030,Coordinator,57922,19,East
E7031,Analyst,91079,16,South
E7032,Coordinator,51252,2,North
E7033,Analyst,81040,0,North
E7034,Coordinator,66871,11,North
E7035,Analyst,91585,19,East
E7036,Coordinator,74213,14,East
E7037,Analyst,73050,8,West
E7038,Coordinator,63040,4,North
E7039,Analyst,69062,2,North
E7040,Coordinator,65266,2,South
E7041,Analyst,82021,0,West
E7042,Coordinator,70155,9,South
E7043,Analyst,79042,11,North
E7044,Coordinator,65565,3,South
E7045,Analyst,68474,0,East
E7046,Coordinator,66551,21,East
E7047,Analyst,72376,21,North
E7048,Coordinator,40327,9,East
E7049,Analyst,94073,1,South
E7050,Coordinator,57732,15,East
E7051,Analyst,82589,4,West
E7052,Coordinator,48292,11,East
E7053,Analyst,72753,15,North
E7054,Coordinator,51943,17,East
E7055,Analyst,81324,0,South
E7056,Coordinator,68342,1,South
E7057,Analyst,72343,14,North
E7058,Coordinator,70208,8,West
E7059,Analyst,84684,13,East
E7060,Coordinator,55848,2,South
E7061,Analyst,77754,17,West
E7062,Coordinator,68695,19,South
E7063,Analyst,70992,0,East
E7064,Coordinator,56124,20,East
E7065,Analyst,90428,8,East
E7066,Coordinator,92028,5,North
E7067,Analyst,74462,14,East
E7068,Coordinator,48323,10,South
E7069,Analyst,90647,18,East
E7070,Coordinator,52079,17,South
E7071,Analyst,68913,21,West
E7072,Coordinator,54603,7,East
E7073,Analyst,93072,3,North
E7074,Coordinator,57440,6,South
E7075,Analyst,66301,19,North
E7076,Coordinator,62448,1,West
E7077,Analyst,78798,0,East
E7078,Coordinator,61205,0,South
E7079,Analyst,85973,2,West
E7080,Coordinator,65453,7,East
E7081,Analyst,78137,15,West
E7082,Coordinator,60042,8,East
E7083,Analyst,56384,0,South
E7084,Coordinator,48174,20,North
E7085,Analyst,73946,16,North
E7086,Coordinator,63664,1,West
E7087,Analyst,73555,10,West
E7088,Coordinator,67939,20,North
E7089,Analyst,51213,12,South
E7090,Coordinator,60907,16,South
E7091,Analyst,76181,10,West
E7092,Coordinator,64983,1,East
E7093,Analyst,76386,17,North
E7094,Coordinator,52436,21,South
E7095,Analyst,73780,1,North
E7096,Coordinator,47938,5,South
E7097,Analyst,82362,16,East
E7098,Coordinator,58292,21,North
E7099,Analyst,77386,12,North
E7100,Coordinator,67546,2,East
E7101,Analyst,87439,1,East
E7102,Coordinator,63208,9,East
E7103,Analyst,77007,2,South
E7104,Coordinator,78075,12,East
E7105,Analyst,82507,4,East
E7106,Coordinator,54327,12,East
E7107,Analyst,88224,11,West
E7108,Coordinator,68588,0,West
E7109,Analyst,71953,13,North
E7110,Coordinator,68240,19,North
E7111,Analyst,70584,3,South
E7112,Coordinator,65957,11,East
E7113,Analyst,82556,2,West
E7114,Coordinator,67020,2,West
E7115,Analyst,72145,4,West
E7116,Coordinator,65258,10,East
E7117,Analyst,87007,9,East
E7118,Coordinator,54921,5,South
E7119,Analyst,80114,9,West
E7120,Coordinator,48489,11,South
